Liga,Temporada,Jornada,Equipo,Cambios realizados defensa partido,Cambio jugador lesion partido,Titulares cambiados respecto jornada anterior,,,
Serie A,Temporada2020,Jornada 31,Juventus,0,0,3,"0,1310898","-0,0907274","0,49989"
Serie A,Temporada2020,Jornada 31,Lazio,2,0,2,"0,0005146","0,0398478","0,6304652"
Serie A,Temporada2020,Jornada 31,Atalanta,2,0,8,"0,2626942","-0,2223318","0,3682856"
Serie A,Temporada2020,Jornada 31,Inter,0,0,4,"0,1747864","-0,134424","0,4561934"
Serie A,Temporada2020,Jornada 31,Roma,1,0,3,"0,0876505","-0,0472881","0,5433293"
Serie A,Temporada2020,Jornada 31,Napoli,0,0,6,"0,2621796","-0,2218172","0,3688002"
Serie A,Temporada2020,Jornada 31,Milan,2,0,2,"0,0005146","0,0398478","0,6304652"
Serie A,Temporada2020,Jornada 31,Sassuolo,1,0,6,"0,2187403","-0,1783779","0,4122395"
Serie A,Temporada2020,Jornada 31,Hellas Verona,2,0,5,"0,1316044","-0,091242","0,4993754"
Serie A,Temporada2020,Jornada 31,Bologna,0,0,4,"0,1747864","-0,134424","0,4561934"
Serie A,Temporada2020,Jornada 31,Cagliari,0,0,3,"0,1310898","-0,0907274","0,49989"
Serie A,Temporada2020,Jornada 31,Parma,0,0,4,"0,1747864","-0,134424","0,4561934"
Serie A,Temporada2020,Jornada 31,Fiorentina,1,0,7,"0,2624369","-0,2220745","0,3685429"
Serie A,Temporada2020,Jornada 31,Udinese,2,0,5,"0,1316044","-0,091242","0,4993754"
Serie A,Temporada2020,Jornada 31,Torino,2,0,4,"0,0879078","-0,0475454","0,543072"
Serie A,Temporada2020,Jornada 31,Sampdoria,1,0,3,"0,0876505","-0,0472881","0,5433293"
Serie A,Temporada2020,Jornada 31,Lecce,0,0,3,"0,1310898","-0,0907274","0,49989"
Serie A,Temporada2020,Jornada 31,Genoa,1,0,4,"0,1313471","-0,0909847","0,4996327"
Serie A,Temporada2020,Jornada 31,Brescia,0,0,0,0,"0,0403624","0,6309798"
Serie A,Temporada2020,Jornada 31,SPAL,0,0,5,"0,218483","-0,1781206","0,4124968"
Serie A,Temporada2020,Jornada 32,Juventus,1,0,3,"0,0876505","-0,0472881","0,5433293"
Serie A,Temporada2020,Jornada 32,Lazio,2,0,3,"0,0442112","-0,0038488","0,5867686"
Serie A,Temporada2020,Jornada 32,Atalanta,1,0,3,"0,0876505","-0,0472881","0,5433293"
Serie A,Temporada2020,Jornada 32,Inter,0,0,11,"0,4806626","-0,4403002","0,1503172"
Serie A,Temporada2020,Jornada 32,Roma,1,0,5,"0,1750437","-0,1346813","0,4559361"
Serie A,Temporada2020,Jornada 32,Napoli,0,0,5,"0,218483","-0,1781206","0,4124968"
Serie A,Temporada2020,Jornada 32,Milan,0,0,1,"0,0436966","-0,0033342","0,5872832"
Serie A,Temporada2020,Jornada 32,Sassuolo,1,1,9,"0,0832779","-0,0429155","0,5477019"
Serie A,Temporada2020,Jornada 32,Hellas Verona,2,1,1,"-0,3097342","0,3500966","0,940714"
Serie A,Temporada2020,Jornada 32,Bologna,1,1,4,"-0,1352051","0,1755675","0,7661849"
Serie A,Temporada2020,Jornada 32,Cagliari,1,1,1,"-0,2662949","0,3066573","0,8972747"
Serie A,Temporada2020,Jornada 32,Parma,2,0,5,"0,1316044","-0,091242","0,4993754"
Serie A,Temporada2020,Jornada 32,Fiorentina,1,0,7,"0,2624369","-0,2220745","0,3685429"
Serie A,Temporada2020,Jornada 32,Sampdoria,0,1,3,"-0,1354624","0,1758248","0,7664422"
Serie A,Temporada2020,Jornada 32,Udinese,1,0,5,"0,1750437","-0,1346813","0,4559361"
Serie A,Temporada2020,Jornada 32,Torino,0,0,11,"0,4806626","-0,4403002","0,1503172"
Serie A,Temporada2020,Jornada 32,Genoa,0,0,2,"0,0873932","-0,0470308","0,5435866"
Serie A,Temporada2020,Jornada 32,Lecce,1,1,0,"-0,3099915","0,3503539","0,9409713"
Serie A,Temporada2020,Jornada 32,Brescia,1,0,5,"0,1750437","-0,1346813","0,4559361"
Serie A,Temporada2020,Jornada 32,SPAL,0,0,6,"0,2621796","-0,2218172","0,3688002"
Serie A,Temporada2020,Jornada 33,Juventus,0,0,11,"0,4806626","-0,4403002","0,1503172"
Serie A,Temporada2020,Jornada 33,Lazio,0,0,11,"0,4806626","-0,4403002","0,1503172"
Serie A,Temporada2020,Jornada 33,Atalanta,0,0,11,"0,4806626","-0,4403002","0,1503172"
Serie A,Temporada2020,Jornada 33,Inter,0,0,0,0,"0,0403624","0,6309798"
Serie A,Temporada2020,Jornada 33,Roma,0,0,11,"0,4806626","-0,4403002","0,1503172"
Serie A,Temporada2020,Jornada 33,Napoli,0,0,11,"0,4806626","-0,4403002","0,1503172"
Serie A,Temporada2020,Jornada 33,Milan,0,0,11,"0,4806626","-0,4403002","0,1503172"
Serie A,Temporada2020,Jornada 33,Sassuolo,0,0,11,"0,4806626","-0,4403002","0,1503172"
Serie A,Temporada2020,Jornada 33,Hellas Verona,0,0,11,"0,4806626","-0,4403002","0,1503172"
Serie A,Temporada2020,Jornada 33,Bologna,0,0,11,"0,4806626","-0,4403002","0,1503172"
Serie A,Temporada2020,Jornada 33,Cagliari,0,0,11,"0,4806626","-0,4403002","0,1503172"
Serie A,Temporada2020,Jornada 33,Parma,0,0,11,"0,4806626","-0,4403002","0,1503172"
Serie A,Temporada2020,Jornada 33,Fiorentina,0,0,11,"0,4806626","-0,4403002","0,1503172"
Serie A,Temporada2020,Jornada 33,Sampdoria,0,0,11,"0,4806626","-0,4403002","0,1503172"
Serie A,Temporada2020,Jornada 33,Udinese,0,0,11,"0,4806626","-0,4403002","0,1503172"
Serie A,Temporada2020,Jornada 33,Torino,0,0,0,0,"0,0403624","0,6309798"
Serie A,Temporada2020,Jornada 33,Genoa,0,0,11,"0,4806626","-0,4403002","0,1503172"
Serie A,Temporada2020,Jornada 33,Lecce,0,0,11,"0,4806626","-0,4403002","0,1503172"
Serie A,Temporada2020,Jornada 33,Brescia,0,0,11,"0,4806626","-0,4403002","0,1503172"
Serie A,Temporada2020,Jornada 33,SPAL,0,0,11,"0,4806626","-0,4403002","0,1503172"
Serie A,Temporada2020,Jornada 34,Juventus,0,0,0,0,"0,0403624","0,6309798"
Serie A,Temporada2020,Jornada 34,Lazio,0,0,0,0,"0,0403624","0,6309798"
Serie A,Temporada2020,Jornada 34,Atalanta,0,0,0,0,"0,0403624","0,6309798"
Serie A,Temporada2020,Jornada 34,Inter,0,0,0,0,"0,0403624","0,6309798"
Serie A,Temporada2020,Jornada 34,Roma,0,0,0,0,"0,0403624","0,6309798"
Serie A,Temporada2020,Jornada 34,Napoli,0,0,0,0,"0,0403624","0,6309798"
Serie A,Temporada2020,Jornada 34,Milan,0,0,0,0,"0,0403624","0,6309798"
Serie A,Temporada2020,Jornada 34,Sassuolo,0,0,0,0,"0,0403624","0,6309798"
Serie A,Temporada2020,Jornada 34,Hellas Verona,0,0,0,0,"0,0403624","0,6309798"
Serie A,Temporada2020,Jornada 34,Bologna,0,0,0,0,"0,0403624","0,6309798"
Serie A,Temporada2020,Jornada 34,Cagliari,0,0,0,0,"0,0403624","0,6309798"
Serie A,Temporada2020,Jornada 34,Parma,0,0,0,0,"0,0403624","0,6309798"
Serie A,Temporada2020,Jornada 34,Fiorentina,0,0,0,0,"0,0403624","0,6309798"
Serie A,Temporada2020,Jornada 34,Sampdoria,0,0,0,0,"0,0403624","0,6309798"
Serie A,Temporada2020,Jornada 34,Udinese,0,0,0,0,"0,0403624","0,6309798"
Serie A,Temporada2020,Jornada 34,Torino,0,0,0,0,"0,0403624","0,6309798"
Serie A,Temporada2020,Jornada 34,Genoa,0,0,0,0,"0,0403624","0,6309798"
Serie A,Temporada2020,Jornada 34,Lecce,0,0,0,0,"0,0403624","0,6309798"
Serie A,Temporada2020,Jornada 34,Brescia,0,0,0,0,"0,0403624","0,6309798"
Serie A,Temporada2020,Jornada 34,SPAL,0,0,0,0,"0,0403624","0,6309798"
Serie A,Temporada2020,Jornada 35,Juventus,0,0,0,0,"0,0403624","0,6309798"
Serie A,Temporada2020,Jornada 35,Lazio,0,0,0,0,"0,0403624","0,6309798"
Serie A,Temporada2020,Jornada 35,Atalanta,0,0,0,0,"0,0403624","0,6309798"
Serie A,Temporada2020,Jornada 35,Inter,0,0,0,0,"0,0403624","0,6309798"
Serie A,Temporada2020,Jornada 35,Roma,0,0,0,0,"0,0403624","0,6309798"
Serie A,Temporada2020,Jornada 35,Napoli,0,0,0,0,"0,0403624","0,6309798"
Serie A,Temporada2020,Jornada 35,Milan,0,0,0,0,"0,0403624","0,6309798"
Serie A,Temporada2020,Jornada 35,Sassuolo,0,0,0,0,"0,0403624","0,6309798"
Serie A,Temporada2020,Jornada 35,Hellas Verona,0,0,0,0,"0,0403624","0,6309798"
Serie A,Temporada2020,Jornada 35,Bologna,0,0,0,0,"0,0403624","0,6309798"
Serie A,Temporada2020,Jornada 35,Cagliari,0,0,0,0,"0,0403624","0,6309798"
Serie A,Temporada2020,Jornada 35,Parma,0,0,0,0,"0,0403624","0,6309798"
Serie A,Temporada2020,Jornada 35,Fiorentina,0,0,0,0,"0,0403624","0,6309798"
Serie A,Temporada2020,Jornada 35,Sampdoria,0,0,0,0,"0,0403624","0,6309798"
Serie A,Temporada2020,Jornada 35,Udinese,0,0,0,0,"0,0403624","0,6309798"
Serie A,Temporada2020,Jornada 35,Torino,0,0,0,0,"0,0403624","0,6309798"
Serie A,Temporada2020,Jornada 35,Genoa,0,0,0,0,"0,0403624","0,6309798"
Serie A,Temporada2020,Jornada 35,Lecce,0,0,0,0,"0,0403624","0,6309798"
Serie A,Temporada2020,Jornada 35,Brescia,0,0,0,0,"0,0403624","0,6309798"
Serie A,Temporada2020,Jornada 35,SPAL,0,0,0,0,"0,0403624","0,6309798"
Serie A,Temporada2020,Jornada 36,Juventus,0,0,0,0,"0,0403624","0,6309798"
Serie A,Temporada2020,Jornada 36,Lazio,0,0,0,0,"0,0403624","0,6309798"
Serie A,Temporada2020,Jornada 36,Atalanta,0,0,0,0,"0,0403624","0,6309798"
Serie A,Temporada2020,Jornada 36,Inter,0,0,0,0,"0,0403624","0,6309798"
Serie A,Temporada2020,Jornada 36,Roma,0,0,0,0,"0,0403624","0,6309798"
Serie A,Temporada2020,Jornada 36,Napoli,0,0,0,0,"0,0403624","0,6309798"
Serie A,Temporada2020,Jornada 36,Milan,0,0,0,0,"0,0403624","0,6309798"
Serie A,Temporada2020,Jornada 36,Sassuolo,0,0,0,0,"0,0403624","0,6309798"
Serie A,Temporada2020,Jornada 36,Hellas Verona,0,0,0,0,"0,0403624","0,6309798"
Serie A,Temporada2020,Jornada 36,Bologna,0,0,0,0,"0,0403624","0,6309798"
Serie A,Temporada2020,Jornada 36,Cagliari,0,0,0,0,"0,0403624","0,6309798"
Serie A,Temporada2020,Jornada 36,Parma,0,0,0,0,"0,0403624","0,6309798"
Serie A,Temporada2020,Jornada 36,Fiorentina,0,0,0,0,"0,0403624","0,6309798"
Serie A,Temporada2020,Jornada 36,Sampdoria,0,0,0,0,"0,0403624","0,6309798"
Serie A,Temporada2020,Jornada 36,Udinese,0,0,0,0,"0,0403624","0,6309798"
Serie A,Temporada2020,Jornada 36,Torino,0,0,0,0,"0,0403624","0,6309798"
Serie A,Temporada2020,Jornada 36,Genoa,0,0,0,0,"0,0403624","0,6309798"
Serie A,Temporada2020,Jornada 36,Lecce,0,0,0,0,"0,0403624","0,6309798"
Serie A,Temporada2020,Jornada 36,Brescia,0,0,0,0,"0,0403624","0,6309798"
Serie A,Temporada2020,Jornada 36,SPAL,0,0,0,0,"0,0403624","0,6309798"
Serie A,Temporada2020,Jornada 37,Juventus,0,0,0,0,"0,0403624","0,6309798"
Serie A,Temporada2020,Jornada 37,Lazio,0,0,0,0,"0,0403624","0,6309798"
Serie A,Temporada2020,Jornada 37,Atalanta,0,0,0,0,"0,0403624","0,6309798"
Serie A,Temporada2020,Jornada 37,Inter,0,0,0,0,"0,0403624","0,6309798"
Serie A,Temporada2020,Jornada 37,Roma,0,0,0,0,"0,0403624","0,6309798"
Serie A,Temporada2020,Jornada 37,Napoli,0,0,0,0,"0,0403624","0,6309798"
Serie A,Temporada2020,Jornada 37,Milan,0,0,0,0,"0,0403624","0,6309798"
Serie A,Temporada2020,Jornada 37,Sassuolo,0,0,0,0,"0,0403624","0,6309798"
Serie A,Temporada2020,Jornada 37,Hellas Verona,0,0,0,0,"0,0403624","0,6309798"
Serie A,Temporada2020,Jornada 37,Bologna,0,0,0,0,"0,0403624","0,6309798"
Serie A,Temporada2020,Jornada 37,Cagliari,0,0,0,0,"0,0403624","0,6309798"
Serie A,Temporada2020,Jornada 37,Parma,0,0,0,0,"0,0403624","0,6309798"
Serie A,Temporada2020,Jornada 37,Fiorentina,0,0,0,0,"0,0403624","0,6309798"
Serie A,Temporada2020,Jornada 37,Sampdoria,0,0,0,0,"0,0403624","0,6309798"
Serie A,Temporada2020,Jornada 37,Udinese,0,0,0,0,"0,0403624","0,6309798"
Serie A,Temporada2020,Jornada 37,Torino,0,0,0,0,"0,0403624","0,6309798"
Serie A,Temporada2020,Jornada 37,Genoa,0,0,0,0,"0,0403624","0,6309798"
Serie A,Temporada2020,Jornada 37,Lecce,0,0,0,0,"0,0403624","0,6309798"
Serie A,Temporada2020,Jornada 37,Brescia,0,0,0,0,"0,0403624","0,6309798"
Serie A,Temporada2020,Jornada 37,SPAL,0,0,0,0,"0,0403624","0,6309798"
Serie A,Temporada2020,Jornada 38,Juventus,0,0,0,0,"0,0403624","0,6309798"
Serie A,Temporada2020,Jornada 38,Lazio,0,0,0,0,"0,0403624","0,6309798"
Serie A,Temporada2020,Jornada 38,Atalanta,0,0,0,0,"0,0403624","0,6309798"
Serie A,Temporada2020,Jornada 38,Inter,0,0,0,0,"0,0403624","0,6309798"
Serie A,Temporada2020,Jornada 38,Roma,0,0,0,0,"0,0403624","0,6309798"
Serie A,Temporada2020,Jornada 38,Napoli,0,0,0,0,"0,0403624","0,6309798"
Serie A,Temporada2020,Jornada 38,Milan,0,0,0,0,"0,0403624","0,6309798"
Serie A,Temporada2020,Jornada 38,Sassuolo,0,0,0,0,"0,0403624","0,6309798"
Serie A,Temporada2020,Jornada 38,Hellas Verona,0,0,0,0,"0,0403624","0,6309798"
Serie A,Temporada2020,Jornada 38,Bologna,0,0,0,0,"0,0403624","0,6309798"
Serie A,Temporada2020,Jornada 38,Cagliari,0,0,0,0,"0,0403624","0,6309798"
Serie A,Temporada2020,Jornada 38,Parma,0,0,0,0,"0,0403624","0,6309798"
Serie A,Temporada2020,Jornada 38,Fiorentina,0,0,0,0,"0,0403624","0,6309798"
Serie A,Temporada2020,Jornada 38,Sampdoria,0,0,0,0,"0,0403624","0,6309798"
Serie A,Temporada2020,Jornada 38,Udinese,0,0,0,0,"0,0403624","0,6309798"
Serie A,Temporada2020,Jornada 38,Torino,0,0,0,0,"0,0403624","0,6309798"
Serie A,Temporada2020,Jornada 38,Genoa,0,0,0,0,"0,0403624","0,6309798"
Serie A,Temporada2020,Jornada 38,Lecce,0,0,0,0,"0,0403624","0,6309798"
Serie A,Temporada2020,Jornada 38,Brescia,0,0,0,0,"0,0403624","0,6309798"
Serie A,Temporada2020,Jornada 38,SPAL,0,0,0,0,"0,0403624","0,6309798"
Serie A,Temporada2019,Jornada 1,Atalanta,1,0,0,"-0,0434393","0,0838017","0,6744191"
Serie A,Temporada2019,Jornada 1,Empoli,1,0,0,"-0,0434393","0,0838017","0,6744191"
Serie A,Temporada2019,Jornada 1,Juventus,0,0,0,0,"0,0403624","0,6309798"
Serie A,Temporada2019,Jornada 1,Milan,0,0,0,0,"0,0403624","0,6309798"
Serie A,Temporada2019,Jornada 1,Napoli,0,0,0,0,"0,0403624","0,6309798"
Serie A,Temporada2019,Jornada 1,Roma,0,0,0,0,"0,0403624","0,6309798"
Serie A,Temporada2019,Jornada 1,Sassuolo,0,0,0,0,"0,0403624","0,6309798"
Serie A,Temporada2019,Jornada 1,SPAL,0,0,0,0,"0,0403624","0,6309798"
Serie A,Temporada2019,Jornada 1,Parma,0,0,0,0,"0,0403624","0,6309798"
Serie A,Temporada2019,Jornada 1,Fiorentina,0,0,0,0,"0,0403624","0,6309798"
Serie A,Temporada2019,Jornada 1,Udinese,0,0,0,0,"0,0403624","0,6309798"
Serie A,Temporada2019,Jornada 1,Sampdoria,0,0,0,0,"0,0403624","0,6309798"
Serie A,Temporada2019,Jornada 1,Cagliari,1,1,0,"-0,3099915","0,3503539","0,9409713"
Serie A,Temporada2019,Jornada 1,Bologna,0,0,0,0,"0,0403624","0,6309798"
Serie A,Temporada2019,Jornada 1,Chievo,0,1,0,"-0,2665522","0,3069146","0,897532"
Serie A,Temporada2019,Jornada 1,Genoa,0,0,0,0,"0,0403624","0,6309798"
Serie A,Temporada2019,Jornada 1,Lazio,1,0,0,"-0,0434393","0,0838017","0,6744191"
Serie A,Temporada2019,Jornada 1,Inter,1,0,0,"-0,0434393","0,0838017","0,6744191"
Serie A,Temporada2019,Jornada 1,Torino,2,0,0,"-0,0868786","0,127241","0,7178584"
Serie A,Temporada2019,Jornada 1,Frosinone,0,0,0,0,"0,0403624","0,6309798"
Serie A,Temporada2019,Jornada 2,Juventus,0,0,3,"0,1310898","-0,0907274","0,49989"
Serie A,Temporada2019,Jornada 2,Napoli,1,0,1,"0,0002573","0,0401051","0,6307225"
Serie A,Temporada2019,Jornada 2,SPAL,0,0,0,0,"0,0403624","0,6309798"
Serie A,Temporada2019,Jornada 2,Fiorentina,0,0,3,"0,1310898","-0,0907274","0,49989"
Serie A,Temporada2019,Jornada 2,Atalanta,1,0,8,"0,3061335","-0,2657711","0,3248463"
Serie A,Temporada2019,Jornada 2,Roma,1,0,2,"0,0439539","-0,0035915","0,5870259"
Serie A,Temporada2019,Jornada 2,Sassuolo,1,0,3,"0,0876505","-0,0472881","0,5433293"
Serie A,Temporada2019,Jornada 2,Udinese,0,0,1,"0,0436966","-0,0033342","0,5872832"
Serie A,Temporada2019,Jornada 2,Empoli,0,0,0,0,"0,0403624","0,6309798"
Serie A,Temporada2019,Jornada 2,Milan,0,0,4,"0,1747864","-0,134424","0,4561934"
Serie A,Temporada2019,Jornada 2,Genoa,0,0,4,"0,1747864","-0,134424","0,4561934"
Serie A,Temporada2019,Jornada 2,Parma,1,0,1,"0,0002573","0,0401051","0,6307225"
Serie A,Temporada2019,Jornada 2,Cagliari,0,0,5,"0,218483","-0,1781206","0,4124968"
Serie A,Temporada2019,Jornada 2,Bologna,0,0,1,"0,0436966","-0,0033342","0,5872832"
Serie A,Temporada2019,Jornada 2,Inter,1,0,3,"0,0876505","-0,0472881","0,5433293"
Serie A,Temporada2019,Jornada 2,Torino,1,0,2,"0,0439539","-0,0035915","0,5870259"
Serie A,Temporada2019,Jornada 2,Sampdoria,0,0,4,"0,1747864","-0,134424","0,4561934"
Serie A,Temporada2019,Jornada 2,Frosinone,1,0,2,"0,0439539","-0,0035915","0,5870259"
Serie A,Temporada2019,Jornada 2,Lazio,0,0,3,"0,1310898","-0,0907274","0,49989"
Serie A,Temporada2019,Jornada 2,Chievo,0,0,3,"0,1310898","-0,0907274","0,49989"
Serie A,Temporada2019,Jornada 3,Juventus,0,0,1,"0,0436966","-0,0033342","0,5872832"
Serie A,Temporada2019,Jornada 3,Fiorentina,0,0,0,0,"0,0403624","0,6309798"
Serie A,Temporada2019,Jornada 3,Sassuolo,1,0,3,"0,0876505","-0,0472881","0,5433293"
Serie A,Temporada2019,Jornada 3,Milan,1,0,1,"0,0002573","0,0401051","0,6307225"
Serie A,Temporada2019,Jornada 3,SPAL,2,0,0,"-0,0868786","0,127241","0,7178584"
Serie A,Temporada2019,Jornada 3,Napoli,0,0,2,"0,0873932","-0,0470308","0,5435866"
Serie A,Temporada2019,Jornada 3,Cagliari,0,0,2,"0,0873932","-0,0470308","0,5435866"
Serie A,Temporada2019,Jornada 3,Atalanta,1,0,5,"0,1750437","-0,1346813","0,4559361"
Serie A,Temporada2019,Jornada 3,Inter,1,0,3,"0,0876505","-0,0472881","0,5433293"
Serie A,Temporada2019,Jornada 3,Sampdoria,1,0,3,"0,0876505","-0,0472881","0,5433293"
Serie A,Temporada2019,Jornada 3,Empoli,1,0,1,"0,0002573","0,0401051","0,6307225"
Serie A,Temporada2019,Jornada 3,Roma,2,0,4,"0,0879078","-0,0475454","0,543072"
Serie A,Temporada2019,Jornada 3,Torino,1,0,1,"0,0002573","0,0401051","0,6307225"
Serie A,Temporada2019,Jornada 3,Udinese,1,0,1,"0,0002573","0,0401051","0,6307225"
Serie A,Temporada2019,Jornada 3,Genoa,0,0,0,0,"0,0403624","0,6309798"
Serie A,Temporada2019,Jornada 3,Lazio,0,0,0,0,"0,0403624","0,6309798"
Serie A,Temporada2019,Jornada 3,Parma,0,0,2,"0,0873932","-0,0470308","0,5435866"
Serie A,Temporada2019,Jornada 3,Bologna,0,0,1,"0,0436966","-0,0033342","0,5872832"
Serie A,Temporada2019,Jornada 3,Frosinone,1,0,3,"0,0876505","-0,0472881","0,5433293"
Serie A,Temporada2019,Jornada 3,Chievo,0,0,5,"0,218483","-0,1781206","0,4124968"
Serie A,Temporada2019,Jornada 4,Juventus,1,0,4,"0,1313471","-0,0909847","0,4996327"
Serie A,Temporada2019,Jornada 4,SPAL,1,0,0,"-0,0434393","0,0838017","0,6744191"
Serie A,Temporada2019,Jornada 4,Napoli,0,0,5,"0,218483","-0,1781206","0,4124968"
Serie A,Temporada2019,Jornada 4,Fiorentina,0,0,2,"0,0873932","-0,0470308","0,5435866"
Serie A,Temporada2019,Jornada 4,Sampdoria,0,0,2,"0,0873932","-0,0470308","0,5435866"
Serie A,Temporada2019,Jornada 4,Sassuolo,1,0,3,"0,0876505","-0,0472881","0,5433293"
Serie A,Temporada2019,Jornada 4,Milan,1,0,0,"-0,0434393","0,0838017","0,6744191"
Serie A,Temporada2019,Jornada 4,Genoa,0,0,3,"0,1310898","-0,0907274","0,49989"
Serie A,Temporada2019,Jornada 4,Lazio,1,0,0,"-0,0434393","0,0838017","0,6744191"
Serie A,Temporada2019,Jornada 4,Cagliari,0,0,2,"0,0873932","-0,0470308","0,5435866"
Serie A,Temporada2019,Jornada 4,Roma,1,0,6,"0,2187403","-0,1783779","0,4122395"
Serie A,Temporada2019,Jornada 4,Torino,1,0,2,"0,0439539","-0,0035915","0,5870259"
Serie A,Temporada2019,Jornada 4,Udinese,0,0,1,"0,0436966","-0,0033342","0,5872832"
Serie A,Temporada2019,Jornada 4,Parma,2,0,0,"-0,0868786","0,127241","0,7178584"
Serie A,Temporada2019,Jornada 4,Atalanta,0,0,6,"0,2621796","-0,2218172","0,3688002"
Serie A,Temporada2019,Jornada 4,Inter,1,0,2,"0,0439539","-0,0035915","0,5870259"
Serie A,Temporada2019,Jornada 4,Empoli,0,0,3,"0,1310898","-0,0907274","0,49989"
Serie A,Temporada2019,Jornada 4,Bologna,0,0,3,"0,1310898","-0,0907274","0,49989"
Serie A,Temporada2019,Jornada 4,Frosinone,0,0,2,"0,0873932","-0,0470308","0,5435866"
Serie A,Temporada2019,Jornada 4,Chievo,0,0,1,"0,0436966","-0,0033342","0,5872832"
Serie A,Temporada2019,Jornada 5,Juventus,0,0,5,"0,218483","-0,1781206","0,4124968"
Serie A,Temporada2019,Jornada 5,Napoli,1,0,5,"0,1750437","-0,1346813","0,4559361"
Serie A,Temporada2019,Jornada 5,Fiorentina,0,0,2,"0,0873932","-0,0470308","0,5435866"
Serie A,Temporada2019,Jornada 5,Sassuolo,0,0,2,"0,0873932","-0,0470308","0,5435866"
Serie A,Temporada2019,Jornada 5,Lazio,0,0,2,"0,0873932","-0,0470308","0,5435866"
Serie A,Temporada2019,Jornada 5,SPAL,1,0,0,"-0,0434393","0,0838017","0,6744191"
Serie A,Temporada2019,Jornada 5,Udinese,0,0,1,"0,0436966","-0,0033342","0,5872832"
Serie A,Temporada2019,Jornada 5,Milan,1,0,0,"-0,0434393","0,0838017","0,6744191"
Serie A,Temporada2019,Jornada 5,Parma,0,0,1,"0,0436966","-0,0033342","0,5872832"
Serie A,Temporada2019,Jornada 5,Sampdoria,0,0,3,"0,1310898","-0,0907274","0,49989"
Serie A,Temporada2019,Jornada 5,Inter,0,0,5,"0,218483","-0,1781206","0,4124968"
Serie A,Temporada2019,Jornada 5,Genoa,0,0,2,"0,0873932","-0,0470308","0,5435866"
Serie A,Temporada2019,Jornada 5,Cagliari,0,0,4,"0,1747864","-0,134424","0,4561934"
Serie A,Temporada2019,Jornada 5,Atalanta,1,0,2,"0,0439539","-0,0035915","0,5870259"
Serie A,Temporada2019,Jornada 5,Roma,1,0,5,"0,1750437","-0,1346813","0,4559361"
Serie A,Temporada2019,Jornada 5,Torino,1,0,3,"0,0876505","-0,0472881","0,5433293"
Serie A,Temporada2019,Jornada 5,Bologna,0,0,6,"0,2621796","-0,2218172","0,3688002"
Serie A,Temporada2019,Jornada 5,Empoli,0,0,2,"0,0873932","-0,0470308","0,5435866"
Serie A,Temporada2019,Jornada 5,Frosinone,0,1,4,"-0,0917658","0,1321282","0,7227456"
Serie A,Temporada2019,Jornada 5,Chievo,1,0,1,"0,0002573","0,0401051","0,6307225"
Serie A,Temporada2019,Jornada 6,Juventus,1,0,6,"0,2187403","-0,1783779","0,4122395"
Serie A,Temporada2019,Jornada 6,Napoli,0,0,9,"0,3932694","-0,352907","0,2377104"
Serie A,Temporada2019,Jornada 6,Sassuolo,1,0,7,"0,2624369","-0,2220745","0,3685429"
Serie A,Temporada2019,Jornada 6,Lazio,1,0,5,"0,1750437","-0,1346813","0,4559361"
Serie A,Temporada2019,Jornada 6,Fiorentina,0,0,2,"0,0873932","-0,0470308","0,5435866"
Serie A,Temporada2019,Jornada 6,Inter,0,0,2,"0,0873932","-0,0470308","0,5435866"
Serie A,Temporada2019,Jornada 6,Milan,0,0,2,"0,0873932","-0,0470308","0,5435866"
Serie A,Temporada2019,Jornada 6,Genoa,0,0,5,"0,218483","-0,1781206","0,4124968"
Serie A,Temporada2019,Jornada 6,SPAL,1,0,2,"0,0439539","-0,0035915","0,5870259"
Serie A,Temporada2019,Jornada 6,Sampdoria,0,0,2,"0,0873932","-0,0470308","0,5435866"
Serie A,Temporada2019,Jornada 6,Roma,1,0,7,"0,2624369","-0,2220745","0,3685429"
Serie A,Temporada2019,Jornada 6,Udinese,0,0,3,"0,1310898","-0,0907274","0,49989"
Serie A,Temporada2019,Jornada 6,Parma,0,0,3,"0,1310898","-0,0907274","0,49989"
Serie A,Temporada2019,Jornada 6,Cagliari,1,0,6,"0,2187403","-0,1783779","0,4122395"
Serie A,Temporada2019,Jornada 6,Atalanta,0,0,4,"0,1747864","-0,134424","0,4561934"
Serie A,Temporada2019,Jornada 6,Torino,1,0,3,"0,0876505","-0,0472881","0,5433293"
Serie A,Temporada2019,Jornada 6,Empoli,0,0,2,"0,0873932","-0,0470308","0,5435866"
Serie A,Temporada2019,Jornada 6,Bologna,1,0,4,"0,1313471","-0,0909847","0,4996327"
Serie A,Temporada2019,Jornada 6,Frosinone,0,0,6,"0,2621796","-0,2218172","0,3688002"
Serie A,Temporada2019,Jornada 6,Chievo,1,0,3,"0,0876505","-0,0472881","0,5433293"
Serie A,Temporada2019,Jornada 7,Juventus,0,0,5,"0,218483","-0,1781206","0,4124968"
Serie A,Temporada2019,Jornada 7,Napoli,0,0,6,"0,2621796","-0,2218172","0,3688002"
Serie A,Temporada2019,Jornada 7,Fiorentina,0,0,2,"0,0873932","-0,0470308","0,5435866"
Serie A,Temporada2019,Jornada 7,Inter,0,0,6,"0,2621796","-0,2218172","0,3688002"
