copa_temporada,copa_fecha,copa_local,copa_visitante,copa_resultado
Temporada2017,12 Oct 16,Real Mallorca,UCAM Murcia,1 - 2
Temporada2017,12 Oct 16,Real Valladolid,Tenerife,3 - 1
Temporada2017,30 Nov 16,CD Toledo,Villarreal,0 - 3
Temporada2017,20 Dic 16,Villarreal,CD Toledo,1 - 1
Temporada2017,30 Nov 16,SD Formentera,Sevilla,1 - 5
Temporada2017,21 Dic 16,Sevilla,SD Formentera,9 - 1
Temporada2017,26 Oct 16,Cultural Leonesa,Real Madrid,1 - 7
Temporada2017,30 Nov 16,Real Madrid,Cultural Leonesa,6 - 1
Temporada2017,21 Dic 16,Barcelona,Hércules,7 - 0
Temporada2017,30 Nov 16,Hércules,Barcelona,1 - 1
Temporada2017,20 Dic 16,Atlético Madrid,Guijuelo,4 - 1
Temporada2017,30 Nov 16,Guijuelo,Atlético Madrid,0 - 6
Temporada2017,22 Dic 16,Athletic Bilbao,Racing,3 - 0
Temporada2017,01 Dic 16,Racing,Athletic Bilbao,1 - 2
Temporada2017,22 Dic 16,Celta de Vigo,UCAM Murcia,1 - 0
Temporada2017,30 Nov 16,UCAM Murcia,Celta de Vigo,0 - 1
Temporada2017,30 Nov 16,Córdoba,Málaga,2 - 0
Temporada2017,20 Dic 16,Málaga,Córdoba,3 - 4
Temporada2017,01 Dic 16,Real Valladolid,Real Sociedad,1 - 3
Temporada2017,20 Dic 16,Real Sociedad,Real Valladolid,1 - 1
Temporada2017,01 Dic 16,Huesca,Las Palmas,2 - 2
Temporada2017,20 Dic 16,Las Palmas,Huesca,2 - 1
Temporada2017,01 Dic 16,Gimnàstic Tarragona,Alavés,0 - 3
Temporada2017,22 Dic 16,Alavés,Gimnàstic Tarragona,3 - 0
Temporada2017,29 Nov 16,Alcorcón,Espanyol,1 - 1
Temporada2017,22 Dic 16,Espanyol,Alcorcón,1 - 1
Temporada2017,29 Nov 16,Real Sporting,Eibar,1 - 2
Temporada2017,21 Dic 16,Eibar,Real Sporting,3 - 1
Temporada2017,21 Dic 16,Osasuna,Granada,2 - 0
Temporada2017,30 Nov 16,Granada,Osasuna,1 - 0
Temporada2017,29 Nov 16,Leganés,Valencia,1 - 3
Temporada2017,21 Dic 16,Valencia,Leganés,2 - 1
Temporada2017,29 Nov 16,Real Betis,Deportivo,1 - 0
Temporada2017,21 Dic 16,Deportivo,Real Betis,3 - 1
Temporada2017,03 Ene 17,Las Palmas,Atlético Madrid,0 - 2
Temporada2017,10 Ene 17,Atlético Madrid,Las Palmas,2 - 3
Temporada2017,04 Ene 17,Alcorcón,Córdoba,0 - 0
Temporada2017,11 Ene 17,Córdoba,Alcorcón,1 - 2
Temporada2017,05 Ene 17,Athletic Bilbao,Barcelona,2 - 1
Temporada2017,11 Ene 17,Barcelona,Athletic Bilbao,3 - 1
Temporada2017,04 Ene 17,Real Madrid,Sevilla,3 - 0
Temporada2017,12 Ene 17,Sevilla,Real Madrid,3 - 3
Temporada2017,04 Ene 17,Real Sociedad,Villarreal,3 - 1
Temporada2017,11 Ene 17,Villarreal,Real Sociedad,1 - 1
Temporada2017,03 Ene 17,Deportivo,Alavés,2 - 2
Temporada2017,11 Ene 17,Alavés,Deportivo,1 - 1
Temporada2017,03 Ene 17,Valencia,Celta de Vigo,1 - 4
Temporada2017,12 Ene 17,Celta de Vigo,Valencia,2 - 1
Temporada2017,03 Ene 17,Osasuna,Eibar,0 - 3
Temporada2017,12 Ene 17,Eibar,Osasuna,0 - 0
Temporada2017,19 Ene 17,Real Sociedad,Barcelona,0 - 1
Temporada2017,26 Ene 17,Barcelona,Real Sociedad,5 - 2
Temporada2017,18 Ene 17,Alcorcón,Alavés,0 - 2
Temporada2017,24 Ene 17,Alavés,Alcorcón,0 - 0
Temporada2017,19 Ene 17,Atlético Madrid,Eibar,3 - 0
Temporada2017,25 Ene 17,Eibar,Atlético Madrid,2 - 2
Temporada2017,25 Ene 17,Celta de Vigo,Real Madrid,2 - 2
Temporada2017,18 Ene 17,Real Madrid,Celta de Vigo,1 - 2
Temporada2017,02 Feb 17,Celta de Vigo,Alavés,0 - 0
Temporada2017,08 Feb 17,Alavés,Celta de Vigo,1 - 0
Temporada2017,01 Feb 17,Atlético Madrid,Barcelona,1 - 2
Temporada2017,07 Feb 17,Barcelona,Atlético Madrid,1 - 1
Temporada2017,27 May 17,Barcelona,Alavés,3 - 1
